time;strands;temp;finals
99998;100;0.0;0.0525
99998;100;1.0;0.075
99998;100;2.0;0.1275
99998;100;3.0;0.23
99998;100;4.0;0.225
99998;100;5.0;0.3225
99998;100;6.0;0.325
99998;100;7.0;0.465
99998;100;8.0;0.555
99998;100;9.0;0.63
99998;100;10.0;0.69
99998;100;11.0;0.7575
99998;100;12.0;0.7975
99998;100;13.0;0.8375
99998;100;14.0;0.85
99998;100;15.0;0.8775
99998;100;16.0;0.8475
99998;100;17.0;0.86
99998;100;18.0;0.8325
99998;100;19.0;0.8275
99998;100;20.0;0.8125
99998;100;21.0;0.8175
99998;100;22.0;0.815
99998;100;23.0;0.79
99998;100;24.0;0.81
99998;100;25.0;0.775
99998;100;26.0;0.805
99998;100;27.0;0.7775
99998;100;28.0;0.7625
99998;100;29.0;0.7225
99998;100;30.0;0.6675
99998;100;31.0;0.6575
99998;100;32.0;0.595
99998;100;33.0;0.525
99998;100;34.0;0.495
99998;100;35.0;0.41
99998;100;36.0;0.31
99998;100;37.0;0.225
99998;100;38.0;0.1125
99998;100;39.0;0.0725
99998;100;40.0;0.0225
99998;100;41.0;0.0075
99998;100;42.0;0.0
99998;100;43.0;0.0
99998;100;44.0;0.0
99998;100;45.0;0.0
99998;100;46.0;0.0
99998;100;47.0;0.0
99998;100;48.0;0.0
99998;100;49.0;0.0
99998;100;50.0;0.0
99998;100;51.0;0.0
99998;100;52.0;0.0
99998;100;53.0;0.0
99998;100;54.0;0.0
99998;100;55.0;0.0
99998;100;56.0;0.0
99998;100;57.0;0.0
99998;100;58.0;0.0
99998;100;59.0;0.0
99998;100;60.0;0.0
99998;100;61.0;0.0
99998;100;62.0;0.0
99998;100;63.0;0.0
99998;100;64.0;0.0
99998;100;65.0;0.0
99998;100;66.0;0.0
99998;100;67.0;0.0
99998;100;68.0;0.0
99998;100;69.0;0.0
99998;100;70.0;0.0
99998;100;71.0;0.0
99998;100;72.0;0.0
99998;100;73.0;0.0
99998;100;74.0;0.0
99998;100;75.0;0.0
99998;100;76.0;0.0
99998;100;77.0;0.0
99998;100;78.0;0.0
99998;100;79.0;0.0
99998;100;80.0;0.0
99998;100;81.0;0.0
99998;100;82.0;0.0
99998;100;83.0;0.0
99998;100;84.0;0.0
99998;100;85.0;0.0
99998;100;86.0;0.0
99998;100;87.0;0.0
99998;100;88.0;0.0
99998;100;89.0;0.0
99998;100;90.0;0.0
99998;100;91.0;0.0
99998;100;92.0;0.0
99998;100;93.0;0.0
99998;100;94.0;0.0
99998;100;95.0;0.0
99998;100;96.0;0.0
99998;100;97.0;0.0
99998;100;98.0;0.0
99998;100;99.0;0.0
